,tokens,full_name,dof,year,month,date,hour,sentiment,text
0,['swallows'],"Sydney, New South Wales",3,2022,2,10,4,0.0,@Felon82 He swallows
1,"['yup', 'zealots', 'work']","Sydney, New South Wales",3,2022,2,10,5,-0.4,@marquelawyers Yup! Zealots at work.
2,[''],"Darwin, Northern Territory",3,2022,2,10,0,0.0,@marquelawyers https://t.co/BFqOUeu7Am
3,[''],"Darwin, Northern Territory",3,2022,2,10,0,0.0,@MoarToast https://t.co/aYJHMrca17
4,"['sinuses', 'are', 'close', 'upper', 'teeth', 'can', 'have', 'implants', 'and', 'riot', 'canal', 'actually', 'pierced', 'sinus']","Nowra - Bomaderry, New South Wales",3,2022,2,10,0,-0.09090909090909091,@ArtistAffame My sinuses are so close to my upper teeth I can't have implants.   And a riot canal actually pierced a sinus.
5,"['most', 'likely', 'referred', 'pain', 'teeth', 'ache', 'when', 'have', 'sinus', 'issue']","Nowra - Bomaderry, New South Wales",3,2022,2,10,0,-0.2857142857142857,@ArtistAffame @Incognito4476 Most likely referred pain.   My teeth ache when I have sinus issue.
6,"['does', 'depend', 'how', 'close', 'the', 'molar', 'the', 'sinus', 'had', 'back', 'molar', 'removed', 'and', 'just', 'had', 'membrane', 'tissue', 'left', 'covering', 'the', 'sinus', 'dentist', 'made', 'not', 'spit', 'out', 'just', 'drool', 'after', 'brushing', 'and', 'not', 'sneeze', 'for', 'weeks', 'but', 'you', 'must', 'open', 'mouth']","Victoria, Australia",3,2022,2,10,2,0.038461538461538464,"@ArtistAffame It does depend how close the molar is to the sinus

I had a back molar removed and just had a membrane of tissue left covering the sinus. Dentist made me not spit out just drool after brushing and DO NOT SNEEZE, for 3 weeks (but if you must, open mouth)"
7,"['you', 'may', 'also', 'need', 'further', 'investigation', 'treatment', 'this', 'mat', 'sign', 'fistula', 'whe', 'the', 'nose', 'and', 'the', 'mouth', 'your', 'dentist', 'will', 'through', 'all', 'this', 'best', 'luck']","Victoria, Australia",3,2022,2,10,2,0.15,"@MishMei @ArtistAffame @slandermepls You may also need further investigation +/- treatment,  as this mat be a sign of a fistula (a whe bw the nose and the mouth)
Your dentist will go through all of this. 

Best of luck!"
8,[''],"Perth, Western Australia",3,2022,2,10,14,0.0,@A_L_Roberts @BethanDarwin https://t.co/Tuh8656mP3
9,"['winks', 'overrated', 'stone', 'they', 'found', 'their', 'level', 'the', 'championship']","Sydney, New South Wales",3,2022,2,10,4,0.0,@rrrtttbbb8 Winks is overrated as we’re Livermore &amp; Huddlestone. They found their level. The Championship #offUgoWinks
10,"['refr', 'significa', 'que', 'est', 'listo', 'plancharon', 'flux', 'para', 'pon', 'rselo', 'dice', 'otro', 'refr', 'que', 'las', 'personas', 'usan', 'mejor', 'gala', 'cuando', 'casan', 'sacan', 'dula', 'van', 'cajita', 'rectangular']","Melbourne, Victoria",3,2022,2,10,6,0.0,"@lisethreyes Es un refrán y significa que ya está listo...ya le plancharon  el Flux para ponérselo...
Dice otro refrán que las personas usan su mejor gala cuando se casan, sacan la cédula o van a la cajita rectangular ...👣🦋💜"
11,"['the', 'bigger', 'the', 'easier', 'kill', 'only', 'downside', 'cleaning', 'after', 'killed', 'that', 'actually', 'the', 'scary', 'bit']","Melbourne, Victoria",3,2022,2,10,1,-0.4,"@nitaarin The bigger it is, the easier it is to kill. Only downside is cleaning after it’s killed - that’s actually the scary bit 😅"
12,[''],"Melbourne, Victoria",3,2022,2,10,9,0.0,@nitaarin 😂😂
13,"['num', 'decente', 'mas', 'que', 'bolsonaro', 'transformou', 'brasil', 'qualquer', 'coisa', 'melhor', 'que', 'continuidade', 'tiver', 'que', 'escolher', 'entre', 'respons', 'vel', 'por', 'roubos', 'respons', 'vel', 'por', 'mortes', 'fico', 'com', 'respons', 'vel', 'por', 'roubo']","Gold Coast, Queensland",3,2022,2,10,11,-0.023255813953488372,"@alec_schuartz @Fernando_Mureb Num país decente não.
Mas, no que o Bolsonaro transformou o Brasil, qualquer coisa é melhor que continuidade.

Se eu tiver que escolher entre um responsável por roubos e um responsável por mortes, fico com o responsável por roubo."
14,"['entrando', 'estrat', 'gia', 'mas', 'acho', 'importante', 'gerar', 'uma', 'equival', 'ncia', 'entre', 'ladr', 'assassino', 'sobre', 'sal', 'rio', 'presidente', 'lula', 'tem', 'isso', 'bolsonaro', 'tamb', 'vai', 'ter']","Gold Coast, Queensland",3,2022,2,10,13,0.0,"@alec_schuartz @Fernando_Mureb Entrando a estratégia.

Mas acho importante não gerar uma equivalência entre um ladrão e um assassino.

Sobre o salário de ex presidente, o Lula já tem isso.
O Bolsonaro também vai ter."
15,"['supostamente', 'sim', 'mas', 'muitos', 'tipos', 'morte', 'tiveram', 'uma', 'diminui', 'durante', 'governo', 'ent', 'ainda', 'que', 'para', 'pensar', 'que', 'desvio', 'verbas', 'podem', 'causar', 'mortes', 'tem', 'como', 'nomear', 'isso', 'meros', 'mostram', 'contr', 'rio', 'ser', 'contra', 'isolamento', 'vacina']","Gold Coast, Queensland",3,2022,2,10,13,0.0,"@ivanknoch @alec_schuartz @Fernando_Mureb Supostamente sim.
Mas muitos tipos de morte tiveram uma diminuição durante o governo Lula.
Então, ainda que de para pensar que desvio de verbas da saúde PODEM causar mortes, não tem como nomear isso.
E os números mostram o contrário.

Já ser contra isolamento e vacina dá."
16,"['defendendo', 'estou', 'dizendo', 'que', 'estiver', 'que', 'escolher', 'entre', 'quem', 'meteu', 'meu', 'bolso', 'quem', 'passou', 'doen', 'pro', 'meu', 'fico', 'com', 'quem', 'roubou']","Gold Coast, Queensland",3,2022,2,10,14,-0.02631578947368421,"@alec_schuartz @ivanknoch @Fernando_Mureb Não tô defendendo não.
Estou dizendo que se eu estiver que escolher entre quem meteu a mão no meu bolso, e quem passou doença pro meu avô, eu fico com quem me roubou."
17,[''],"Perth, Western Australia",3,2022,2,10,1,0.0,@Veloxipi @IGN https://t.co/PyH7nIwrAa
18,"['mah', 'kalo', 'reseh', 'toxic', 'mute', 'aja', 'dah', 'kalo', 'mtk', 'tau', 'mute', 'welcome', 'mute', 'hidup', 'mah', 'jgn', 'bawah', 'susah', 'dah', 'banyak', 'masalah', 'dalam', 'hidup', 'kita', 'kalo']","Brisbane, Queensland",3,2022,2,10,2,-0.02564102564102564,"@Ch1ch1ny4_0shin Gw mah kalo yg reseh or toxic gw mute aja dah , kalo mtk tau gw mute welcome to mute gw ya, hidup mah jgn di bawah susah, dah banyak masalah  dalam hidup kita ya , kalo gw ya"
